game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Castlevania: Symphony of the Night,1997-03-20,2019-07-01,2019-07-01,93,Konami,"Sony Interactive Entertainment, Konami Digital Entertainment, Digital Eclipse",XB360/OG Xbox
Rivals of Aether,2017-03-28,2019-06-01,2019-07-01,,Dan Fornace,Dan Fornace,XB1/Series X|S
Aftercharge,2019-01-01,2019-01-01,2019-07-01,69,Chainsawesome Games,Chainsawesome Games,Xbox
The LEGO Movie Videogame,2014-02-01,2019-01-01,2019-07-01,69,Warner Bros. Interactive,"Feral Interactive, Warner Bros. Interactive, Traveller's Tales, TT Fusion",Xbox
Dandara,2018-02-01,2018-08-01,2019-07-01,70,Raw Fury,"Raw Fury, Long Hat House",Xbox
Dead Rising 2,2010-09-01,2018-08-01,2019-07-01,79,Capcom,"Capcom U.S.A, Capcom Vancouver, Blue Castle Games",Xbox
HITMAN,2016-03-01,2018-08-01,2019-07-01,85,"Square Enix, Feral Interactive, Warner Bros. Interactive","Feral Interactive, Square Enix, IO Interactive",Xbox
Metal Slug XX,2009-12-01,2017-08-01,2019-07-01,61,SNK,SNK,Xbox
Defense Grid: The Awakening,2008-12-01,2017-06-01,2019-07-01,82,Hidden Path Entertainment,Hidden Path Entertainment,Xbox
Hexic 2,2007-08-01,2017-06-01,2019-07-01,72,Microsoft Studios,Carbonated Games,Xbox
Earth Defense Force 2017,2007-03-20,2019-06-01,2019-06-01,69,D3 Publisher,Sandlot Games,XB360/OG Xbox
NHL 19,2020-10-16,2019-06-01,2019-06-01,76,Electronic Arts,Electronic Arts,XB1/Series X|S
Portal: Still Alive,2008-06-23,2019-06-01,2019-06-01,90,Microsoft Studios,Valve Software,XB360/OG Xbox
The Golf Club 2019 featuring PGA Tour,2018-08-28,2019-05-01,2019-06-01,,2K Games,HB Studios Multimedia,XB1/Series X|S
Ultimate Marvel vs. Capcom 3,2011-11-01,2019-01-01,2019-06-01,78,Capcom,"Capcom, Capcom U.S.A",Xbox
Shadow Complex: Remastered,2009-08-01,2018-07-01,2019-06-01,80,,"Epic Games, ChAIR Entertainment",Xbox
Zombie Army Trilogy,2015-03-01,2018-07-01,2019-06-01,62,Rebellion,Rebellion,Xbox
Next Up Hero,2017-07-01,2018-06-01,2019-06-01,61,Aspyr,"Aspyr Media, Digital Continue",Xbox
Devil May Cry 4: Special Edition,2015-06-01,2018-01-01,2019-06-01,76,Capcom,Capcom,Xbox
Comic Jumper,2010-08-10,2019-05-01,2019-05-01,,Microsoft Studios,Twisted Pixel Games,XB360/OG Xbox
Marooners,2016-09-15,2019-05-01,2019-05-01,,M2H,M2H,XB1/Series X|S
Earth Defense Force: Insect Armageddon,2011-07-05,2019-05-01,2019-05-01,69,D3 Publisher,"D3 Publisher, Vicious Cycle Software",XB360/OG Xbox
Outcast: Second Contact,2017-11-13,2019-04-01,2019-05-01,65,"Infogrames, Bigben Interactive",Appeal,XB1/Series X|S
LEGO Star Wars: The Complete Saga,2007-11-01,2018-06-01,2019-05-01,80,"Warner Bros. Interactive, Disney Interactive, LucasArts Entertainment","Feral Interactive, Warner Bros. Interactive, Traveller's Tales",Xbox
